selling_price,rank,currency,styleId,fdbId,category,run_date,paginatedUrl,source,articleType,defaultImage,description,brand,activatedAt,imageUrlList,data,sizes,url,gender,colour,mrp,attributes,styleName
5.0,1,GBP,DZZ25604,,£5 & under,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=0,boohoo,£5 & under,i1.adis.ws/i/boohooamplience/dzz25604_terracotta_xl?$product_image_main$,,Boohoo Night,,i1.adis.ws/i/boohooamplience/dzz25604_terracotta_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/mary-slinky-twist-front-bodycon-dress/DZZ25604.html,WOMEN,terracotta,5.0,,Mary Slinky Twist Front Bodycon Dress
15.0,81,GBP,TZZ97749,,Tonal,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=80,boohoo,Tonal,i1.adis.ws/i/boohooamplience/tzz97749_rose_xl?$product_image_main$,,Boohoo Tall,,i1.adis.ws/i/boohooamplience/tzz97749_rose_xl?$product_image_main$,,"8,10,12,14,16",http://www.boohoo.com/tall-kat-off-the-shoulder-asymmetric-bodycon-dress/TZZ97749.html?color=158,WOMEN,rose,15.0,,Tall Kat Off The Shoulder Asymmetric Bodycon Dress
12.0,161,GBP,LZZ90022,,Lingerie,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=160,boohoo,Lingerie,i1.adis.ws/i/boohooamplience/lzz90022_red_xl?$product_image_main$,,Boohoo,,i1.adis.ws/i/boohooamplience/lzz90022_red_xl?$product_image_main$,,"S,M,L",http://www.boohoo.com/jasmine-velvet-bralet/LZZ90022.html,WOMEN,red,12.0,,Jasmine Velvet Bralet
8.0,241,GBP,CZZ95037,,Tops,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=240,boohoo,Tops,i1.adis.ws/i/boohooamplience/czz95037_black_xl?$product_image_main$,,Boohoo,,i1.adis.ws/i/boohooamplience/czz95037_black_xl?$product_image_main$,,"S/M,M/L",http://www.boohoo.com/jessica-velour-wrap-front-top/CZZ95037.html,WOMEN,khaki,8.0,,Jessica Velour Wrap Front Top
18.0,321,GBP,PZZ83911,,NEW IN,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=320,boohoo,NEW IN,i1.adis.ws/i/boohooamplience/pzz83911_hot%2520pink_xl?$product_image_main$,,Boohoo Petite,,i1.adis.ws/i/boohooamplience/pzz83911_hot%2520pink_xl?$product_image_main$,,"4,6,8,10,12,14",http://www.boohoo.com/petite-kate-notch-oversized-boyfriend-blazer/PZZ83911.html?color=535,WOMEN,black,18.0,,Petite Kate Notch Oversized Boyfriend Blazer
4.0,401,GBP,DZZ25581,,£5 & under,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=400,boohoo,£5 & under,i1.adis.ws/i/boohooamplience/dzz25581_lilac_xl?$product_image_main$,,null,,i1.adis.ws/i/boohooamplience/dzz25581_lilac_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/amelia-twist-front-slinky-one-shoulder-bralet/DZZ25581.html,WOMEN,lilac,4.0,,Amelia Twist Front Slinky One Shoulder Bralet
8.0,481,GBP,DZZ35990,,Tops,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=480,boohoo,Tops,i1.adis.ws/i/boohooamplience/dzz35990_tangerine_xl?$product_image_main$,,Boohoo,,i1.adis.ws/i/boohooamplience/dzz35990_tangerine_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/lucy-high-rise-off-the-shoulder-body/DZZ35990.html?color=524,WOMEN,black,8.0,,Lucy High Rise Off The Shoulder Body
18.0,561,GBP,DZZ27273,,Dresses,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=560,boohoo,Dresses,i1.adis.ws/i/boohooamplience/dzz27273_red_xl?$product_image_main$,,Boohoo Night,,i1.adis.ws/i/boohooamplience/dzz27273_red_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/amy-wrap-front-flared-sleeve-skater-dress/DZZ27273.html?color=157,WOMEN,red,18.0,,Amy Wrap Front Flared Sleeve Skater Dress
12.0,641,GBP,PZZ83726,,NEW IN,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=640,boohoo,NEW IN,i1.adis.ws/i/boohooamplience/pzz83726_red_xl?$product_image_main$,,Boohoo Petite,,i1.adis.ws/i/boohooamplience/pzz83726_red_xl?$product_image_main$,,"4,6,8,10,12,14",http://www.boohoo.com/petite-philippa-varsity-style-long-sleeve-top/PZZ83726.html,WOMEN,red,12.0,,Petite Philippa Varsity Style Long Sleeve Top
18.0,721,GBP,DZZ26689,,Prom Dresses,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=720,boohoo,Prom Dresses,i1.adis.ws/i/boohooamplience/dzz26689_white_xl?$product_image_main$,,Boohoo Boutique,,i1.adis.ws/i/boohooamplience/dzz26689_white_xl?$product_image_main$,,"8,10,12,14,16",http://www.boohoo.com/boutique-stacey-tie-shoulder-midi-dress/DZZ26689.html?color=173,WOMEN,lilac,18.0,,Boutique Stacey Tie Shoulder Midi Dress
18.0,801,GBP,PZZ85051,,Shorts,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=800,boohoo,Shorts,i1.adis.ws/i/boohooamplience/pzz85051_grey_xl?$product_image_main$,,Boohoo Petite,,i1.adis.ws/i/boohooamplience/pzz85051_grey_xl?$product_image_main$,,"4,6,8,10,12,14",http://www.boohoo.com/petite-emily-paperbag-waist-cord-short/PZZ85051.html,WOMEN,sage,18.0,,Petite Emily Paperbag Waist Cord Short
5.0,1,GBP,DZZ25634,,£5 & under,2018-02-20,http://www.boohoo.com/womens/dresses/new-in?sz=80&start=0,boohoo,£5 & under,i1.adis.ws/i/boohooamplience/dzz25634_orange_xl?$product_image_main$,,Boohoo Night,,i1.adis.ws/i/boohooamplience/dzz25634_orange_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/paige-square-neck-frill-hem-bodycon-dress/DZZ25634.html,WOMEN,orange,5.0,,Paige Square Neck Frill Hem Bodycon Dress
35.0,81,GBP,DZZ33364,,Dresses,2018-02-20,http://www.boohoo.com/womens/dresses/new-in?sz=80&start=80,boohoo,Dresses,i1.adis.ws/i/boohooamplience/dzz33364_white_xl?$product_image_main$,,Boohoo Boutique,,i1.adis.ws/i/boohooamplience/dzz33364_white_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/boutique-ray-peplum-hem-lace-bodycon-dress/DZZ33364.html,WOMEN,sky,35.0,,Boutique Ray Peplum Hem Lace Bodycon Dress
