selling_price,rank,currency,styleId,fdbId,category,run_date,paginatedUrl,source,articleType,defaultImage,description,brand,activatedAt,imageUrlList,data,sizes,url,gender,colour,mrp,attributes,styleName
5.0,1,GBP,DZZ25604,,£5 & under,2018-02-20,http://www.boohoo.com/womens/new-in?sz=80&start=0,boohoo,£5 & under,i1.adis.ws/i/boohooamplience/dzz25604_terracotta_xl?$product_image_main$,,"""""Boohoo Night""",,i1.adis.ws/i/boohooamplience/dzz25604_terracotta_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/mary-slinky-twist-front-bodycon-dress/DZZ25604.html,WOMEN,terracotta,5.0,,Mary Slinky Twist Front Bodycon Dress
5.0,2,GBP,DZZ25631,,£5 & under,2018-02-20,http://www.boohoo.com/womens/dresses/new-in?sz=80&start=0,boohoo,£5 & under,i1.adis.ws/i/boohooamplience/dzz25631_black_xl?$product_image_main$,,"""""Boohoo Night""",,i1.adis.ws/i/boohooamplience/dzz25631_black_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/lucy-square-neck-hem-detail-bodycon-dress/DZZ25631.html,WOMEN,black,5.0,,Lucy Square Neck Hem Detail Bodycon Dress
14.0,1,GBP,DZZ89051,,,2018-02-20,http://www.boohoo.com/womens/shoes/new-in?sz=80&start=0,boohoo,,i1.adis.ws/i/boohooamplience/dzz89051_tan_xl?$product_image_main$,,"""""Boohoo Boutique""",,i1.adis.ws/i/boohooamplience/dzz89051_tan_xl?$product_image_main$,,"3,4,5,6,7,8,9",http://www.boohoo.com/boutique-isla-2-part-suede-sandal/DZZ89051.html,WOMEN,tan,14.0,,Boutique Isla 2 Part Suede Sandal
8.0,1,GBP,DZZ31792,,Accessories,2018-02-20,http://www.boohoo.com/womens/accessories/new-in?sz=80&start=0,boohoo,Accessories,i1.adis.ws/i/boohooamplience/dzz31792_silver_xl?$product_image_main$,,"""""Boohoo""",,i1.adis.ws/i/boohooamplience/dzz31792_silver_xl?$product_image_main$,,One Size,http://www.boohoo.com/lola-diamante-bling-bling-choker/DZZ31792.html,WOMEN,silver,8.0,,Lola Diamante Bling Bling Choker
10.0,2,GBP,DZZ32936,,Accessories,2018-02-20,http://www.boohoo.com/womens/accessories/new-in?sz=80&start=0,boohoo,Accessories,i1.adis.ws/i/boohooamplience/dzz32936_mustard_xl?$product_image_main$,,"""""Boohoo""",,i1.adis.ws/i/boohooamplience/dzz32936_mustard_xl?$product_image_main$,,One Size,http://www.boohoo.com/maria-chunky-chain-cross-body/DZZ32936.html?color=146,WOMEN,red,10.0,,Maria Chunky Chain Cross Body
10.0,82,GBP,DZZ25871,,Tops,2018-02-20,http://www.boohoo.com/womens/looks/style-steals?sz=80&start=80,boohoo,Tops,i1.adis.ws/i/boohooamplience/dzz25871_lilac_xl?$product_image_main$,,"""""Boohoo""",,i1.adis.ws/i/boohooamplience/dzz25871_lilac_xl?$product_image_main$,,"6,8,10,12,14",http://www.boohoo.com/lissy-pastel-vinyl-bandeau/DZZ25871.html?color=137,WOMEN,lilac,10.0,,Lissy Pastel Vinyl Bandeau
30.0,1,GBP,DZZ29127,,Dresses,2018-02-20,http://www.boohoo.com/womens/occasion-wear?sz=80&start=0,boohoo,Dresses,i1.adis.ws/i/boohooamplience/dzz29127_blush_xl?$product_image_main$,,"""""Boohoo Boutique""",,i1.adis.ws/i/boohooamplience/dzz29127_blush_xl?$product_image_main$,,"6,8,10,12,14,16",http://www.boohoo.com/boutiue-em-ditsy-floral-angel-sleeve-maxi-dress/DZZ29127.html,WOMEN,blush,30.0,,Boutiue Em Ditsy Floral Angel Sleeve Maxi Dress
14.0,2,GBP,DZZ35715,,NEW IN,2018-02-20,http://www.boohoo.com/womens/occasion-wear?sz=80&start=0,boohoo,NEW IN,i1.adis.ws/i/boohooamplience/dzz35715_rose_xl?$product_image_main$,,"""""Boohoo""",,i1.adis.ws/i/boohooamplience/dzz35715_rose_xl?$product_image_main$,,"8,10,12,14,16",http://www.boohoo.com/billie-flare-cuff-cut-out-blouse/DZZ35715.html?color=158,WOMEN,rose,14.0,,Billie Flare Cuff Cut Out Blouse
25.0,1,GBP,PZZ85360,,Plus Size & Curve Clothing,2018-02-20,http://www.boohoo.com/womens/looks/spring-break?sz=80&start=0,boohoo,Plus Size & Curve Clothing,i1.adis.ws/i/boohooamplience/pzz85360_green_xl?$product_image_main$,,"""""Boohoo Plus""",,i1.adis.ws/i/boohooamplience/pzz85360_green_xl?$product_image_main$,,"16,18,20,22",http://www.boohoo.com/plus-charlotte-woven-slouchy-track-pant/PZZ85360.html?color=130,WOMEN,black,25.0,,Plus Charlotte Woven Slouchy Track Pant
20.0,81,GBP,SZZ90579,,Swimwear,2018-02-20,http://www.boohoo.com/womens/looks/spring-break?sz=80&start=80,boohoo,Swimwear,i1.adis.ws/i/boohooamplience/szz90579_red_xl?$product_image_main$,,"""""Boohoo""",,i1.adis.ws/i/boohooamplience/szz90579_red_xl?$product_image_main$,,"6,8,10,12,14,16",http://www.boohoo.com/brazil-harness-strappy-underwired-bikini/SZZ90579.html,WOMEN,red,20.0,,Brazil Harness Strappy Underwired Bikini
