selling_price,rank,currency,styleId,fdbId,category,run_date,paginatedUrl,source,articleType,defaultImage,description,brand,activatedAt,imageUrlList,data,sizes,url,gender,colour,mrp,attributes,styleName
59.0,1,GBP,0636379001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0636379001/0636379001_15_0.jpg,"This top is made from smooth, bonded jersey with added stretch. A slip-on style, it has a twisted detail at the wide neck, long sleeves and clean finishes.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0636379001/0636379001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0636379001/0636379001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0636379001/0636379001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0636379001/0636379001_12_3.jpg,https://www.cosstores.com/Content/ProductContent/0636379001/0636379001_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0636379001/0636379001_12_7.jpg",,"XS,S,M,L",https://www.cosstores.com/gb/Women/New/Jersey_top_with_twisted_detail/32993034-92418759.1,WOMEN,Light taupe  ,59.0,,Jersey top with twisted detail  - Light taupe  - New - COS GB
39.0,2,GBP,0263296016,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_15_0.jpg,"Designed for everyday wear, this jumper is made from textured cotton with a knitted quality. A relaxed and slightly cropped fit, it has a classic round neckline, long sleeves and ribbed finishes.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0263296010/0263296010_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0263296010/0263296010_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0263296010/0263296010_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0263296010/0263296010_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0263296010/0263296010_12_7.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_4.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_5.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_7.jpg,https://www.cosstores.com/Content/ProductContent/0263296009/0263296009_12_9.jpg,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_12_4.jpg,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_12_5.jpg,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0263296016/0263296016_12_7.jpg,https://www.cosstores.com/Content/ProductContent/0263296011/0263296011_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0263296011/0263296011_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0263296011/0263296011_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0263296011/0263296011_12_4.jpg,https://www.cosstores.com/Content/ProductContent/0263296011/0263296011_12_5.jpg,https://www.cosstores.com/Content/ProductContent/0263296011/0263296011_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0263296011/0263296011_12_7.jpg",,"XS,S,M,L,XS,S,M,L,XS,S,M,L,XS,S,M,L",https://www.cosstores.com/gb/Women/New/Cotton-knit_jumper/32993034-90911475.1,WOMEN,Black Blue Bottle Green Brick red  Pink Navy / Striped Grey Light ,39.0,,Cotton-knit jumper - Pink - New - COS GB
79.0,3,GBP,0610010001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_15_0.jpg,"This sleeveless dress is made from a tailored woven material with added stretch and a full lining. A neat, close fit, it has a low, square neck, shaped seams and a concealed zip at the side.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0610010003/0610010003_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0610010003/0610010003_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0610010003/0610010003_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0610010003/0610010003_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0610010003/0610010003_12_7.jpg,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_12_3.jpg,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_12_7.jpg,https://www.cosstores.com/Content/ProductContent/0610010001/0610010001_12_8.jpg",,"34,36,38,40,42,44,34,36,38,40,42,44",https://www.cosstores.com/gb/Women/New/Square-neck_tailored_dress/32993034-89182971.1,WOMEN,Black  Teal  ,79.0,,Square-neck tailored dress - Teal  - New - COS GB
69.0,4,GBP,0621758001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0621758001/0621758001_15_0.jpg,"A classic style, this long-sleeve dress is made from smooth jersey. Designed for a straight silhouette, it has a draped neck that overlaps to the back and clean finishes.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0621758001/0621758001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0621758001/0621758001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0621758001/0621758001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0621758001/0621758001_12_3.jpg,https://www.cosstores.com/Content/ProductContent/0621758001/0621758001_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0621758001/0621758001_12_7.jpg",,"XS,S,M,L",https://www.cosstores.com/gb/Women/New/Dress_with_draped_neck/32993034-91498102.1,WOMEN,Teal ,69.0,,Dress with draped neck  - Teal - New - COS GB
59.0,5,GBP,0620445001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0620445001/0620445001_15_0.jpg,"This short-sleeve top is made from smooth cotton jersey with laser-cut edges. A slip-on style, it has elastic gathered detail all-over, an elastic at the round neck and short sleeves.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0620445001/0620445001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0620445001/0620445001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0620445001/0620445001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0620445001/0620445001_12_3.jpg,https://www.cosstores.com/Content/ProductContent/0620445001/0620445001_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0620445001/0620445001_12_7.jpg",,"XS,S,M,L",https://www.cosstores.com/gb/Women/New/Gathered_T-shirt/32993034-94637980.1,WOMEN,White ,59.0,,Gathered T-shirt  - White - New - COS GB
10.0,6,GBP,0623518002,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0623518002/0623518002_15_6.jpg,"A sleek, curved profile, this hair barrette is made from gold-tone brass and steel with a polished finish and a simple fastening.",cosstores,,https://www.cosstores.com/Content/ProductContent/0623518002/0623518002_12_6.jpg,,One Size,https://www.cosstores.com/gb/Women/New/Metal_hair_clip/32993034-91145479.1,WOMEN,Gold ,10.0,,Metal hair clip - Gold - New - COS GB
69.0,7,GBP,0578632001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0578632001/0578632001_15_0.jpg,"This short-sleeve dress is made from smooth cotton jersey with elastic gathered detail. Gently coming in at the waist, it has a wide, frilled neck and raw-cut edges.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0578632001/0578632001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0578632001/0578632001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0578632001/0578632001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0578632001/0578632001_12_3.jpg",,"XS,S,M,L",https://www.cosstores.com/gb/Women/New/PA_Popcrincle_Dress/32993034-81324439.1,WOMEN,Navy ,69.0,,PA Popcrincle Dress - Navy - New - COS GB
69.0,8,GBP,0604125001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0604125001/0604125001_15_0.jpg,"This short-sleeve dress is made from a structured cotton blend with a hint of stretch. Cut for a relaxed fit with dropped shoulders, it has a shaped centre-back seam and discreet side pockets.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0604125001/0604125001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0604125001/0604125001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0604125001/0604125001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0604125001/0604125001_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0604125001/0604125001_12_7.jpg",,"34,36,38,40,42,44",https://www.cosstores.com/gb/Women/New/Structured_dress_with_folded_collar/32993034-87402691.1,WOMEN,Navy ,69.0,,Structured dress with folded collar - Navy - New - COS GB
79.0,9,GBP,0628439001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0628439001/0628439001_15_0.jpg,"This mid-length skirt is made from crisp cotton twill with contrast panels in smooth nylon. A full, A-line fit, it has a circle-cut design, discreet side-seam pockets and a wide elasticated waistband.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0628439001/0628439001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0628439001/0628439001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0628439001/0628439001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0628439001/0628439001_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0628439001/0628439001_12_7.jpg",,"34,36,38,40,42,44",https://www.cosstores.com/gb/Women/New/Circle-cut_skirt_with_contrast_panel/32993034-92247843.1,WOMEN,Navy ,79.0,,Circle-cut skirt with contrast panel  - Navy - New - COS GB
59.0,10,GBP,0618431001,,WOMENSWEAR,2018-02-19,https://www.cosstores.com/gb/Women/New,cosstores,New,https://www.cosstores.com/Content/ProductContent/0618431001/0618431001_15_0.jpg,"This short-sleeve knit is made from a heavyweight stretch merino-wool knit blend with a textured quality. A straight fit, it has dropped shoulders, a grown-on neckline with a rolled edge and wide short sleeves.",cosstores,,"https://www.cosstores.com/Content/ProductContent/0618431001/0618431001_12_0.jpg,https://www.cosstores.com/Content/ProductContent/0618431001/0618431001_12_1.jpg,https://www.cosstores.com/Content/ProductContent/0618431001/0618431001_12_2.jpg,https://www.cosstores.com/Content/ProductContent/0618431001/0618431001_12_6.jpg,https://www.cosstores.com/Content/ProductContent/0618431001/0618431001_12_7.jpg,https://www.cosstores.com/Content/ProductContent/0618431001/0618431001_12_8.jpg",,"XS,S,M,L",https://www.cosstores.com/gb/Women/New/Merino_top_with_grown-on_neck/32993034-91350289.1,WOMEN,Black  ,59.0,,Merino top with grown-on neck  - Black  - New - COS GB
