 
selling_price,rank,currency,styleId,fdbId,category,run_date,paginatedUrl,source,articleType,defaultImage,description,brand,activatedAt,imageUrlList,data,sizes,url,gender,colour,mrp,attributes,styleName
278.0,1,DOLLAR,U10-S276,,sweaters,2018-02-15,https://www.equipmentfr.com/shop/sweaters?p=1,EquipmentFR,V-NECK,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/u/1/u10-s276_violetice_4209_category.jpg,"DETAILS
                        The one and only v-neck sweater you'll ever want or need, the Lucinda features a flattering neckline and silhouette that's perfect for layering and lightweight enough for tucking. You'll want one for every day of the week. 
                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'11"" Bust: 31"" Waist: 24 100% Cashmere26"" MEASURED FROM SHOULDER  Dry Clean  Imported 
                    Style: #U10-S276",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/u/1/u10-s276_violetice_4209_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/u/1/u10-s276_violetice_4213.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/u/1/u10-s276_violetice_4217.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/sweaters/lucinda-cashmere-v-neck-violet-ice,WOMAN,VIOLET ICE,278.0,,LUCINDA CASHMERE V-NECK
298.0,13,DOLLAR,Q3112-S292,,sweaters,2018-02-15,https://www.equipmentfr.com/shop/sweaters?p=2,EquipmentFR,TURTLENECK,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/q/3/q3112-s292_black_4295_category.jpg,"DETAILS
                        For all those moments when you wondered if you could pull off the Audrey turtleneck, the Chandler is your resounding yes. So soft, so relaxed, it's the sweater you'll want when you need to look put together but like you didn't spend a minute thinking about it (hello, French cool).
                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'11"" Bust: 31"" Waist: 24 80% Wool 20% Cotton 26"" measured from shoulder Dry Clean  Imported 
                    Style: #Q3112-S292",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/3/q3112-s292_black_4295_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/3/q3112-s292_black_4299.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/3/q3112-s292_black_4291.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/3/q3112-s292_black_4302.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/sweaters/chandler-turtleneck-black,WOMAN,BLACK,298.0,,CHANDLER TURTLENECK
288.0,25,DOLLAR,U10-S002,,sweaters,2018-02-15,https://www.equipmentfr.com/shop/sweaters?p=3,EquipmentFR,V-NECK,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/a/s/ashervneck_u10s002_black_8740_category_1.jpg,"DETAILS
                        AN OVERSIZED CASHMERE SWEATER WITH A DEEP V-NECK, RIBBED NECK, HEM AND SLEEVE CUFFS
                    
                     Model is wearing size small  Model Measurements: Height: 5'11"" Bust: 34"" Waist: 24""  100% Cashmere28 3/8"" measured from shoulder  Dry Clean   Imported 
                    Style: #U10-S002",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/a/s/ashervneck_u10s002_black_8740_category_1.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/a/s/ashervneck_u10s002_black_8740_detail1_1.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/a/s/ashervneck_u10s002_black_8740_detail2_1.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/sweaters/asher-v-neck-black,WOMAN,BLACK,288.0,,ASHER CASHMERE V-NECK
119.2,1,DOLLAR,Q23-E996,,jackets,2018-02-15,https://www.equipmentfr.com/shop/jackets?p=1,EquipmentFR,ROBE,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/q/2/q23-e996_rednouveau_39005_category.jpg,"DETAILS
                        Inspired by vintage men's pajamas (so French), this robe is cut from rich silk and features classic contrast piping. Wear it over pajamas at home or go wild and wear it out and about as a pretty jacket. 
                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'10"" Bust: 32"" Waist: 23"" 100% Silk 30"" measured from shoulder Dry Clean  Imported 
                    Style: #Q23-E996",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/2/q23-e996_rednouveau_39005_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/2/q23-e996_rednouveau_39006.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/2/q23-e996_rednouveau_39001.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/2/q23-e996_rednouveau_39010.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/jackets/theron-robe-red-nouveau-with-piping,WOMAN,RED NOUVEAU WITH PIPING,119.2,,THERON SILK ROBE
388.0,1,DOLLAR,17-5-001156-E310,,pajamas,2018-02-15,https://www.equipmentfr.com/shop/pajamas?p=1,EquipmentFR,SET,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/1/7/17-5-001156-e310_brightwhite_3883_category.jpg,"DETAILS
                        This pretty in print pair of pajamas is crafted from our softest silk. The shirt features a sweet relaxed collar, the shorts convenient slant pockets. Get ready for bed in style (because why not?) 
                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'11"" Bust: 31"" Waist: 24 100% Silk Dry Clean  Imported 
                    Style: #17-5-001156-E310",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/7/17-5-001156-e310_brightwhite_3883_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/7/17-5-001156-e310_brightwhite_3891.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/7/17-5-001156-e310_brightwhite_3888.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/7/17-5-001156-e310_brightwhite_3893.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/pajamas/lillian-pj-set-bright-white,WOMAN,BRIGHT WHITE,388.0,,LILLIAN SILK PJ SET
298.0,2,DOLLAR,18-1-Q23-OW00732,,jackets,2018-02-15,https://www.equipmentfr.com/shop/jackets?p=1,EquipmentFR,ROBE,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/1/8/18-1-q23-ow00732_trueblack_category.jpg,"DETAILS
                        A smoking jacket inspired top that's as perfect as an outer layer as it is on its own as a wrap blouse. Features dual front buttons and contrast piping on the pockets. Crafted from silk because how could it not be? 

                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'11"" Bust: 31"" Waist: 24 100% Silk Dry Clean  Imported 
                    Style: #18-1-Q23-OW00732",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-ow00732_trueblack_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-ow00732_trueblack_2.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-ow00732_trueblack_3.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/jackets/mercer-silk-robe-true-black,WOMAN,TRUE BLACK,298.0,,MERCER SILK ROBE
388.0,13,DOLLAR,Q157-E310,,pajamas,2018-02-15,https://www.equipmentfr.com/shop/pajamas?p=2,EquipmentFR,SET,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/q/1/q157-e310_black_13223122371_1.jpg,"DETAILS
                        THIS STAR PRINT PAJAMA SET INCLUDES AN OVERSIZED PAJAMA TOP FEATURING A FLAT COLLAR, LAPEL, CHEST POCKET AND PIPING DETAILS. THE MATCHING SHORTS FEATURE A DRAWSTRING WAIST, CONTRAST PIPING AND SIDE SEAM POCKETS. THE SET COMES PACKAGED IN A MATCHING SILK ENVELOPE MAKING IT PERFECT FOR TRAVEL OR AS A GIFT.
                    
                     Model is wearing size small  Model Measurements: Height: 5’10"" Bust: 32"" Waist: 23""  100% Silk Top: 27 1/4"" measured from shoulderInseam: 2 3/4"" Dry Clean  Imported 
                    Style: #Q157-E310",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/1/q157-e310_black_13223122371_1.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/1/q157-e310_black_13222822369_1.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/q/1/q157-e310_black_13223522374_1.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/pajamas/lillian-pajama-set-black-stars,WOMAN,BLACK,388.0,,LILLIAN SHORT PAJAMA SET
268.0,1,DOLLAR,CO-0-002686-E231,,shirts,2018-02-15,https://www.equipmentfr.com/shop/shirts?p=1,EquipmentFR,SHIRT,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/c/o/co-0-002686-e231_eclipsebrightwhite_25713_category.jpg,"DETAILS
                        This button-down features all the classic elements of our signature blouse from the front buttons to the double chest pockets, but we've cut it slightly more fitted for a structured work-ready look. (Of course, it looks great after hours, too.) 

                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'11"" Bust: 31"" Waist: 24 100% Silk Dry Clean  Imported 
                    Style: #CO-0-002686-E231",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/c/o/co-0-002686-e231_eclipsebrightwhite_25713_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/c/o/co-0-002686-e231_eclipsebrightwhite_25705.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/c/o/co-0-002686-e231_eclipsebrightwhite_25722.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/shirts/slim-signature-silk-shirt-eclipse-bright-white,WOMAN,ECLIPSE/BRIGHT WHITE,268.0,,SLIM SIGNATURE SILK SHIRT
218.0,13,DOLLAR,Q23-E035,,shirts,2018-02-15,https://www.equipmentfr.com/shop/shirts?p=2,EquipmentFR,SHIRT,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/1/8/18-1-q23-e035_camoflage_2_category.jpg,"DETAILS
                        Our signature is the button-down every closet needs. Fitted but not too much (that hint of drape makes it perfect for a half-tuck), it features classic front buttons and double -chest pockets. Cut from luxe silk for plenty of movement, this is a done-up-done-yet-undone kind of deal. In other words, tres French. 

                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'11"" Bust: 31"" Waist: 24 100% Silk Dry Clean  Imported 
                    Style: #Q23-E035",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-e035_camoflage_2_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-e035_camoflage.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-e035_camoflage_3.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/shirts/signature-silk-shirt-camouflage,WOMAN,CAMOUFLAGE,218.0,,SIGNATURE SILK SHIRT
258.0,25,DOLLAR,18-1-Q23-TP0154,,shirts,2018-02-15,https://www.equipmentfr.com/shop/shirts?p=3,EquipmentFR,SHIRT,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/633x/040ec09b1e35df139433887a97daa66f/1/8/18-1-q23-tp0154_trueblack_category.jpg,"DETAILS
                        This  must-have, no-fail button-down features all your favorite details from the slightly boxy, just right fit to the classic covered front-button placket. This version features subtle stripe detailing at the front and sleeves for a little change of pace. Wear with trousers for a go-to work look or with your favorite jeans for a high-low-weekend outfit. 

                    
                     Model Is Wearing A Size Small Model Measurements: Height: 5'11'' Bust: 31'' Waist: 24 100% Silk Dry Clean  Imported 
                    Style: #18-1-Q23-TP0154",EquipmentFR,,"https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-tp0154_trueblack_category.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-tp0154_trueblack_2.jpg,https://www.equipmentfr.com/media/catalog/product/cache/1/thumbnail/149x250/9df78eab33525d08d6e5fb8d27136e95/1/8/18-1-q23-tp0154_trueblack_3.jpg",,"XXS,XS,S,M,L,XL",https://www.equipmentfr.com/shop/shirts/essential-silk-shirt-true-black-colorblock,WOMAN,TRUE BLACK,258.0,,ESSENTIAL SILK SHIRT
