selling_price,rank,currency,styleId,fdbId,category,run_date,paginatedUrl,source,articleType,defaultImage,description,brand,activatedAt,imageUrlList,data,sizes,url,gender,colour,mrp,attributes,styleName
99.99,1,EUR,568522494,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/anzuege/?p=1&ps=72,otto-de,Anzüge,https:https://i.otto.de/i/otto/18955180/bruno-banani-anzug-anthrazit.jpg?$formatz$,"hängendAuslieferungIn Gr. 25 ca. 39 cmFußweite HoseIn Gr. 25 ca. 78 cmInnenbeinlänge HoseIn Gr. 25 ca. 73 cmRückenlänge SakkoIn Gr. 25 ca. 116 cmOberweite SakkoeinreihigVerschlussdetails Sakko2-Knopf-FormVerschluss SakkoPattentaschen, Brusttasche, Billettasche, InnentaschenTaschen SakkoReißverschluss, Haken, ÖseVerschluss HoseEingrifftaschen, GesäßtaschenTaschen HosejaGürtelschlaufenschmalPassformlangSchnittform Länge HoseBügelfalteSchnittdetails Hosegerader AbschlussBeinabschluss HoseniedrigerLeibhöhe HoseRückenschlitzSchnittdetails Sakkogerader AbschlussRumpfabschluss Sakkogerader AbschlussÄrmelabschluss Sakkomit KnöpfenÄrmeldetails SakkoLangarmÄrmel SakkoReverskragenKragen SakkoklassischStilStrukturmusterOptikStretchMaterialeigenschaftenObermaterial: 77% Polyester, 21% Viskose, 2% Elasthan. Futter: 100% PolyesterMaterialzusammensetzungMaterial & ProduktdetailsBereit fürs Business! Der moderne Anzug von Bruno Banani begeistert als Klassiker mit aktuellen Akzenten. Der feine Zweiteiler präsentiert sich mit einem leicht taillierten Sakko und einer schmal geschnittenen Anzughose inklusive niedriger Leibhöhe. Diverse Eingrifftaschen mit akzentuierter Paspelierung machen den Modern-fit-Anzug zum Blickfang. Das Herrensakko überzeugt zusätzlich mit einer geknöpften Billetttasche, einem schmalen Reverskragen und langen Manschettenärmeln. Die Anzughose punktet verlässlich mit Bund samt Gürtelschlaufen und schicker Bügelfalte. Die formbeständige, elastische Qualität des Herrenanzugs trägt sich sehr angenehm. Ein stilsicherer Look gelingt zu jeder Zeit mit Hemd, Schnürschuhen und dem Anzug von Bruno Banani.",otto-de,,https:https://i.otto.de/i/otto/18955180/bruno-banani-anzug-anthrazit.jpg?$formatz$,,"24,25,26,27,44,46,48,50,52,54,56,58,90,94,98,102,106,110",https://www.otto.de/p/bruno-banani-anzug-568522494/,MEN,anthrazit,12999.0,,Bruno Banani Anzug
,1,EUR,623209339,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/hemden/?p=1&ps=72,otto-de,Langarm,https:https://i.otto.de/i/otto/22112558/tommy-jeans-hemd-tjm-basic-solid-shirt-l-s-38-hellblau-meliert.jpg?$formatz$,"liegendAuslieferungNAUTICAL BLUEHerstellerfarbbezeichnungKnopfleisteVerschlussBrusttascheTaschenMarkenlabelApplikationenschmalPassformabgerundeter SaumRumpfabschluss2-Knopf-ManschetteÄrmelabschlussLangarmÄrmelnormaler HemdkragenKragenmodischStilmeliertOptikObermaterial: 100% BaumwolleMaterialzusammensetzungMaterial & ProduktdetailsMit dem stilvollen Hemd von Hilfiger Denim in melierter Optik werden Freizeitoutfits perfekt abgerundet. Das Herrenhemd begeistert mit einem klassischen Design und einem dezenten Markenlabel auf der Brusttasche. Die in Kontrastfarben gehaltene Innenseite des Kragens und der Manschetten verleihen dem Langarmhemd aus einer trageangenehmen Qualität einen sportiven Touch. Der abgerundete Saum komplettiert die lässige Optik. Zu einer schmalen Jeans und Sneakern kombiniert macht das Herrenhemd immer eine gute Figur. Egal zu welchem Anlass, mit dem Hemd von Hilfiger Denim wird das Styling unkompliziert!",otto-de,,https:https://i.otto.de/i/otto/22112558/tommy-jeans-hemd-tjm-basic-solid-shirt-l-s-38-hellblau-meliert.jpg?$formatz$,,"S (35#ft5_slash#36),M (37#ft5_slash#38),L (39#ft5_slash#40),XL (41#ft5_slash#42),XXL (43#ft5_slash#44)",https://www.otto.de/p/tommy-jeans-hemd-tjm-basic-solid-shirt-l-s-38-623209339/,MEN,hellblau-meliert,,,TOMMY JEANS Hemd »TJM BASIC SOLID SHIRT L/S 38«
79.99,1,EUR,517824288,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/hosen/?p=1&ps=72,otto-de,Cargohosen,https:https://i.otto.de/i/otto/16716809/g-star-raw-cargohose-rovic-zip-3d-tapered-beige.jpg?$formatz$,"liegendAuslieferungduneHerstellerfarbbezeichnungim SchrittVerschlussdetailsReißverschlussVerschlussEingrifftaschen, Coinpocket, Pattentaschen, GesäßtaschenTaschenLabelApplikationenjaGürtelschlaufenlangSchnittform LängenormalPassformgerade, unten schmalBeinformnormalLeibhöhemodischStilunifarbenOptikObermaterial: 97% Baumwolle, 3% ElasthanMaterialzusammensetzungMaterial & ProduktdetailsFür den modebewussten Mann! Der lässige Stil der Cargohose »Rovic« von G-Star wird durch die beiden aufgesetzten Cargotaschen am Oberschenkel bestimmt. Über einer Tasche ist eine zusätzliche Reißverschlusstasche angebracht. Die coolen Teilungsnähte sorgen für einen komfortablen Tapered-fit-Style. Pattentaschen hinten runden den angesagten Worker-Stil der Hose ab. Ob lässig mit Hemd getragen oder cool mit Retro-Shirt – die robuste Hose lässt sich vielseitig kombinieren. So wird die unkomplizierte Cargohose »Rovic« von G-Star schnell zur Lieblingshose!",otto-de,,https:https://i.otto.de/i/otto/16716809/g-star-raw-cargohose-rovic-zip-3d-tapered-beige.jpg?$formatz$,,,https://www.otto.de/p/g-star-raw-cargohose-rovic-zip-3d-tapered-517824288/,MEN,anthrazit,9999.0,,G-Star RAW Cargohose »Rovic Zip 3D tapered«
89.99,1,EUR,599335370,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/jeans/?p=1&ps=72,otto-de,Straight-fit-Jeans,https:https://i.otto.de/i/otto/20721725/g-star-raw-straight-jeans-3301-decons-vintage-aged.jpg?$formatz$,"In Gr. 34 ca. 81 cmInnenbeinlängeStickereiApplikationenlangSchnittform LängenormalPassformgeradeBeinformnormalLeibhöhemodischStilDenim/JeansMaterialartObermaterial: 98% Baumwolle, 2% ElasthanMaterialzusammensetzungMaterial & ProduktdetailsDie Kultmarke G-Star überzeugt auch bei der 5-Pocket-Jeans »3301 Decons« auf den ersten Blick. Sehr cool ist die aufwendig gearbeitete Washed-Optik, die authenisch daherkommt. Die hochwertige Baumwollqualität trägt sich dank Stretchanteil superangenehm. Die Hose ist gerade geschnitten und kann damit gut auch zu Boots oder Stiefeln getragen werden. Wer möchte, krempelt den Saum zwei Mal um und schon entsteht ein ganz neuer Look. Für einen maskulinen Auftritt kombiniert man die Jeans mit einem lässigen T-Shirt und einer Lederjacke im Bikerstyle. Fazit: Die »3301 Decons« ist eine tolle Basic-Jeans von G-Star, in der Männer sich rundum wohlfühlen!",otto-de,,https:https://i.otto.de/i/otto/20721725/g-star-raw-straight-jeans-3301-decons-vintage-aged.jpg?$formatz$,,,https://www.otto.de/p/g-star-raw-straight-jeans-3301-decons-599335370/,MEN,medium-aged,12999.0,,G-Star RAW Straight-Jeans »3301 Decons«
28.99,1,EUR,643046987,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/jacken/?p=1&ps=72,otto-de,Blousons,https:https://i.otto.de/i/otto/22929089/crosshatch-blousonjacke-marine.jpg?$formatz$,"liegendAuslieferungIn Gr. M (48/50) ca. 70 cmRückenlängeReißverschlussVerschlussEingrifftaschenTaschenBadgeApplikationenFellimitat an der KapuzeKapuzendetailsmit KapuzeKapuzenormalPassformBündchenRumpfabschlussBündchenÄrmelabschlussLangarmÄrmelnormaler KragenKragenmodischStilpflegeleichtMaterialeigenschaftenObermaterial: 100% Nylon. Futter: 100% Polyester. Wattierung: 100% PolyesterMaterialzusammensetzungMaterial & ProduktdetailsNie mehr frieren mit der Blousonjacke von Crosshatch! Diverse Details sorgen bei dieser warmen Steppjacke für Wohlbefinden. Eine Kapuze mit Kunstfellkragen, elastische Stickbündchen an den Ärmeln und am Saum sorgen dafür, dass kalte Luft kein Problem mehr ist. Superpraktisch sind die beiden seitlichen Eingrifftaschen des Blousons, eine Tasche auf dem rechten Ärmel und eine Reißverschlusstasche auf der linken Brust – Platz genug für alles, was unbedingt mit muss. Modische Logos an Ärmel und Ärmelsaum und eine angedeutete Steppoptik liefern trendige Akzente. Mit der Blousonjacke von Crosshatch ist man auf jeden Fall optimal ausgerüstet!",otto-de,,https:https://i.otto.de/i/otto/22929089/crosshatch-blousonjacke-marine.jpg?$formatz$,,"S (46),M (48#ft5_slash#50),L (52),XL (54),XXL (56)",https://www.otto.de/p/crosshatch-blousonjacke-643046987/,MEN,marine,5999.0,,CROSSHATCH Blousonjacke
,1,EUR,617156913,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/polo-shirts/?p=1&ps=72,otto-de,Langarm,https:https://i.otto.de/i/otto/22093037/gant-rugbyshirt-weiss-blau.jpg?$formatz$,"liegendAuslieferungeggshellHerstellerfarbbezeichnungLogostickereiApplikationenRippstrickbündchenÄrmelabschlussLangarmÄrmelPolokragenKragencasualStilgestreiftOptikObermaterial: 100% BaumwolleMaterialzusammensetzungMaterial & ProduktdetailsDas geschmackvolle Rugbyshirt von Gant ist die richtige Wahl, wenn es um einen sportiven Look mit raffiniertem Twist geht. Auf der Brust des Regular-fit-Shirts befindet sich eine kleine, dezente Logostickerei. Der für dieses Modell typische Polokragen ist aus Twill gefertigt und besticht zusätzlich mit einem kontrastierenden Webband. Die kurzen, verstärkten Schlitze an den Seiten sorgen nicht nur für eine komfortable Passform, sondern sind auch optisch ein hübsches Beiwerk. Die angenehme, weiche Qualität des Shirts trägt sich komfortabel und bequem. Authentisch gestylt: mit dem Rugbyshirt von Gant.",otto-de,,https:https://i.otto.de/i/otto/22093037/gant-rugbyshirt-weiss-blau.jpg?$formatz$,,"S,M,L,XL,XXL,XXXL,4XL",https://www.otto.de/p/gant-rugbyshirt-617156913/,MEN,grau-blau,,,Gant Rugbyshirt
,1,EUR,604675296,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/pullover/?p=1&ps=72,otto-de,Troyer,https:https://i.otto.de/i/otto/20718725/mans-world-troyer-dunkelblau.jpg?$formatz$,"KnopfleisteVerschlussBadgeApplikationennormalPassformRippbündchenRumpfabschlussRippbündchenÄrmelabschlussLangarmÄrmelmit KnöpfenKragendetailsTroyerkragenKragencasualStilunifarbenOptikGrobstrickMaterialartObermaterial: 100% Baumwolle (unterstützt Cotton made in Africa)MaterialzusammensetzungMaterial & ProduktdetailsDas ist mal ein Must-have: Der Troyerpullover von Man’s World ist mit seiner Waschung ein trendiges Alltags-Piece. Dabei ist jeder Pullover ein Einzelstück, denn die Waschung fällt immer etwas anders aus. Mit Knöpfen am Troyerkragen bekommt der Strickpullover zusätzlich eine individuelle Note verliehen. Die Rippstrickbündchen bringen den lockeren Schnitt in Form und die weiche Qualität verwöhnt die Haut. In Kombination mit Bluejeans kommt der Herrenpullover besonders stilecht zur Geltung. Einfach mal ausprobieren – der Troyerpullover von Man’s World ist einfach ein Highlight!",otto-de,,https:https://i.otto.de/i/otto/20718725/mans-world-troyer-dunkelblau.jpg?$formatz$,,"S (44#ft5_slash#46),M (48#ft5_slash#50),L (52#ft5_slash#54),XL (56#ft5_slash#58),XXL (60#ft5_slash#62),XXXL (64#ft5_slash#66),4XL (68#ft5_slash#70),5XL (72#ft5_slash#74)",https://www.otto.de/p/mans-world-troyer-604675296/,MEN,dunkelblau,,,Man's World Troyer
,1,EUR,606203866,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/sakkos/?p=1&ps=72,otto-de,Casual Sakkos,https:https://i.otto.de/i/otto/20719889/bruno-banani-sakko-grau-meliert.jpg?$formatz$,"hängendAuslieferungIn Gr. 50 ca. 74 cmRückenlängeeinreihigVerschlussdetails2-Knopf-FormVerschlussaufgesetzte Taschen, InnentaschenTaschenRückenschlitzSchnittdetailsschmalPassformmit KnöpfenÄrmelabschlussdetailsgerader AbschlussÄrmelabschlussLangarmÄrmelReverskragenKragenmodischStilObermaterial: 84% Polyester, 15% Viskose, 1% Elasthan. Futter: 100% PolyesterMaterialzusammensetzungMaterial & ProduktdetailsSportlich und schick unterwegs sein – in dem leichten Sakko von Bruno Banani! Das schmal geschnittene Jackett ist in legerer Bouclé-Optik verarbeitet und setzt auf ein meliertes Gesamtbild. Neben den großen aufgesetzten Taschen, die den sportlichen Charakter dieser smarten Herrenjacke unterstreichen, erweisen sich Reverskragen und 2-Knopf-Form als sehr elegant. Durch den formstabilen Materialmix mit Stretchanteil ist die Jacke fast knitterfrei und garantiert Bewegungsfreiheit. Das Herrenjackett kann lässig mit verwaschenen Jeans und Printshirts kombiniert werden, macht aber auch in schicken Outfits eine super Figur. Alles kann, nichts muss – mit dem leichten Sakko von Bruno Banani!",otto-de,,https:https://i.otto.de/i/otto/20719889/bruno-banani-sakko-grau-meliert.jpg?$formatz$,,"44,46,48,50,52,54,56,58",https://www.otto.de/p/bruno-banani-sakko-606203866/,MEN,grau-meliert,,,Bruno Banani Sakko
,1,EUR,111594920,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/shirts/?p=1&ps=72,otto-de,Rundhals,https:https://i.otto.de/i/otto/14411138/h-i-s-langarmshirts-2-stueck-aus-baumwolle-grau-meliertplusschwarz.jpg?$formatz$,"Alles aus superelastischem, trageangenehmem Single-Jersey: 95% Baumwolle, 5% Elasthan.Super TragekomfortHochwertige GarneElastische BaumwolleSchöne Basic-Wäsche in super Passform für jeden Tag. Oberteile körpernah geschnitten.Material & Produktdetails",otto-de,,https:https://i.otto.de/i/otto/14411138/h-i-s-langarmshirts-2-stueck-aus-baumwolle-grau-meliertplusschwarz.jpg?$formatz$,,"XS(3),S(4),M(5),L(6),XL(7),XXL(8),XXXL(9)",https://www.otto.de/p/h-i-s-langarmshirts-2-stueck-aus-baumwolle-111594920/,MEN,2x schwarz,,,H.I.S Langarmshirts (2 Stück) aus Baumwolle
30.0,1,EUR,579790058,,ALL,2018-02-21,https://www.otto.de/herrenmode/kategorien/shorts/?p=1&ps=72,otto-de,Sportshorts,https:https://i.otto.de/i/otto/20341528/nike-sportswear-shorts-m-nsw-av15-fleece-short-schwarz.jpg?$formatz$,"liegendAuslieferungTunnelzugVerschlussEingrifftaschenTaschenLogodruckApplikationenkurzSchnittform LängeBasic schmalPassformgeradeBeinformsportlichStilObermaterial: 56% Baumwolle, 44% PolyesterMaterialzusammensetzungMaterial & ProduktdetailsMit athletischem Look und perfekten Trage-Eigenschaften sorgt die Männer-Shorts von Nike für sichtbar sportliche Performance. Dank des elastischen Taillenbunds mit Tunnelzugband sitzt die Sporthose beim Work-out und Training immer superbequem. Die schmal geschnittene Hose in Bermudas-Länge bekommt mit dem markanten Logoswoosh den obligatorischen Markenlook und mit seitlichen Eingrifftaschen einen lässigen Touch. Mit den jeweils passenden Shirts und Schuhen wird die Männershorts von Nike zum Trainingspartner für die Laufstrecke, das Fitnesstudio und die aktive Freizeit.",otto-de,,https:https://i.otto.de/i/otto/20341528/nike-sportswear-shorts-m-nsw-av15-fleece-short-schwarz.jpg?$formatz$,,"S (44#ft5_slash#46),M (48#ft5_slash#50),L (52#ft5_slash#54),XL (56#ft5_slash#58),XXL (60#ft5_slash#62)",https://www.otto.de/p/nike-sportswear-shorts-m-nsw-av15-fleece-short-579790058/,MEN,grau,4000.0,,Nike Sportswear Shorts »M NSW AV15 FLEECE SHORT«
